|GJ 3141         |             |02 11 18.06|-63 13 41.1|2MASS J02111797-6313413| 8.544| 7.983| 7.726|
|GJ 3759         |HIP 63550    |13 01 19.65|-63 11 42.2|2MASS J13011965-6311422| 7.757| 7.149| 6.934|
|GJ 4222         |             |21 49 25.91|-63 06 51.9|2MASS J21492590-6306519| 8.739| 8.117| 7.886|
|GJ 3038         |HIP 2540     |00 32 15.42|-63 05 28.5|2MASS J00321547-6305284| 7.016| 6.342| 6.169|
|Gl 224.1        |Wo 9194      |05 54 06.06|-63 05 22.7|2MASS J05540606-6305230| 2.954| 2.419| 2.304|
|Wo 9015 AB      |HIP 2578     |00 32 43.91|-63 01 53.4|2MASS J00324391-6301533| 5.061| 5.156| 4.985|
|Gl 143.2 B      |Wo 9118 B    |03 29 29.05|-62 56 47.8|2MASS J03292904-6256478| 7.592| 6.973| 6.751|
|Gl 143.2 A      |Wo 9118 A    |03 29 22.68|-62 56 15.1|2MASS J03292266-6256152| 4.223| 3.933| 3.936|
|Gl 762          |             |19 34 36.48|-62 50 38.6|2MASS J19343645-6250388| 8.591| 7.998| 7.770|
|Wo 9185         |HIP 26277    |05 35 44.17|-62 47 50.2|2MASS J05354419-6247504| 7.258| 6.710| 6.548|
|GJ 4060         |HIP 91024    |18 34 07.06|-62 44 37.5|2MASS J18340708-6244374| 7.078| 6.450| 6.229|
|Gl 551          |HIP 70890    |14 29 42.95|-62 40 46.2|2MASS J14294291-6240465| 5.357| 4.835| 4.384|
|Gl 136          |HIP 15330    |03 17 46.16|-62 34 31.2|2MASS J03174616-6234313| 4.462| 4.041| 3.994|
|Gl 138          |HIP 15371    |03 18 12.82|-62 30 22.9|2MASS J03181281-6230230| 4.271| 3.874| 3.860|
|GJ 1218         |             |17 28 07.34|-62 27 14.2|2MASS J17280732-6227145| 8.422| 7.847| 7.567|
|Gl 412.1        |Wo 9345      |11 06 32.43|-62 25 26.8|2MASS J11063243-6225268| 2.987| 2.570| 2.439|
|Gl 45           |HIP 4473     |00 57 19.75|-62 14 44.2|2MASS J00571972-6214444| 7.081| 6.486| 6.284|
|GJ 3545         |             |09 16 25.98|-62 04 16.0|2MASS J09162598-6204160| 8.465| 7.834| 7.545|
|GJ 4079         |HIP 92451    |18 50 26.65|-62 03 03.7|2MASS J18502667-6203038| 7.562| 6.983| 6.704|
|Gl 705.1        |Wo 9616      |18 10 26.16|-62 00 07.9|2MASS J18102614-6200078| 4.430| 4.022| 4.130|
|GJ 1282         |HIP 114948   |23 16 57.69|-62 00 04.3|2MASS J23165765-6200043| 5.100| 4.606| 4.437|
|Gl 248          |HIP 32607    |06 48 11.45|-61 56 29.0|2MASS J06481145-6156290| 2.766| 2.607| 2.570|
|Gl 428 B        |HIP 55691 B  |11 24 39.49|-61 38 54.3|2MASS J11243947-6138542| 6.005|      | 5.164|
|Gl 428 A        |HIP 55691 A  |11 24 40.32|-61 38 51.2|2MASS J11244030-6138512| 5.147| 4.150| 4.548|
|GJ 4075         |             |18 48 38.69|-61 35 25.8|2MASS J18483868-6135259| 9.047| 8.447| 8.168|
|Gl 83           |HIP 9236     |01 58 46.19|-61 34 11.5|2MASS J01584623-6134113| 2.124| 1.927| 1.861|
|GJ 3982         |HIP 83363    |17 02 16.32|-61 34 06.9|2MASS J17021632-6134067| 6.856| 6.402| 6.200|
|GJ 3401 B       |HIP 31711 B  |06 38 00.33|-61 32 00.3|2MASS J06380036-6132001| 5.079| 4.747| 4.544|
|GJ 3400 A       |HIP 31711 A  |06 38 00.36|-61 32 00.2|2MASS J06380036-6132001| 5.079| 4.747| 4.544|
|Wo 9468         |HIP 69201    |14 10 02.69|-61 31 18.4|2MASS J14100268-6131185| 8.179| 7.761| 7.657|
|Gl 825.1        |Wo 9729      |21 18 44.30|-61 21 10.1|2MASS J21184435-6121101| 5.385| 5.040| 4.932|
|Gl 260          |HIP 33690    |06 59 59.66|-61 20 10.3|2MASS J06595966-6120106| 5.459| 5.097| 4.987|
|Gl 297.1        |Wo 9254      |08 09 00.67|-61 18 08.8|2MASS J08090068-6118088| 3.909| 3.621| 3.675|
|GJ 4331         |HIP 115099   |23 18 46.20|-61 15 12.6|2MASS J23184619-6115125| 8.156| 7.515| 7.306|
|GJ 3618         |             |10 44 21.24|-61 12 35.6|2MASS J10442131-6112384| 8.492| 8.054| 7.728|
|Gl 181.1        |Wo 9171      |04 55 57.74|-61 09 46.6|2MASS J04555759-6109459| 9.042| 8.507| 8.312|
|GJ 1022         |             |00 49 29.03|-61 02 32.7|2MASS J00492903-6102326| 8.627| 8.089| 7.837|
|GJ 4244         |HIP 108567   |21 59 32.10|-60 55 58.7|2MASS J21593208-6055586| 7.224| 6.606| 6.463|
|Gl 559 B        |HIP 71681    |14 39 35.08|-60 50 13.8|2MASS J14393592-6050069|-1.454|-1.886|-2.008|
|Gl 559 A        |HIP 71683    |14 39 36.50|-60 50 02.3|2MASS J14393592-6050069|-1.454|-1.886|-2.008|
|GJ 4081         |             |18 52 00.17|-60 46 11.3|2MASS J18520010-6046109| 9.305| 8.720| 8.457|
|Gl 656          |HIP 83990    |17 10 10.35|-60 43 43.6|2MASS J17101032-6043434| 5.694| 5.204| 5.091|
|Gl 794.2        |Wo 9701      |20 40 02.64|-60 32 56.0|2MASS J20400268-6032562| 4.197| 3.777| 3.828|
|GJ 1283         |HIP 115123   |23 19 05.40|-60 31 14.4|2MASS J23190540-6031143| 6.742| 6.193| 6.035|
|Gl 204.1        |Wo 9180      |05 27 39.35|-60 24 57.6|2MASS J05273934-6024575| 5.704| 5.342| 5.200|
|Gl 294 A        |HIP 38908    |07 57 46.92|-60 18 11.1|2MASS J07574692-6018111| 4.792| 4.360| 4.242|
|Gl 294 BC       |             |07 57 54.85|-60 17 58.4|2MASS J07575485-6017584| 6.908| 6.275| 6.060|
|Gl 341          |HIP 45908    |09 21 37.60|-60 16 55.0|2MASS J09213761-6016551| 6.442| 5.793| 5.587|
|Gl 81.2         |Wo 9064      |01 56 32.49|-60 13 35.9|2MASS J01563250-6013359| 6.566| 5.990| 5.888|
|Gl 389 A        |HIP 50808 A  |10 22 24.60|-60 10 37.7|2MASS J10222461-6010377| 7.707| 7.079| 6.848|
|Gl 389 B        |HIP 50808 B  |10 22 25.00|-60 10 29.4|2MASS J10222501-6010293| 8.714| 8.201| 7.901|
|GJ 1056         |HIP 14587    |03 08 22.44|-60 10 21.2|2MASS J03082242-6010213| 7.037| 6.436| 6.279|
|GJ 4332         |HIP 115211   |23 20 07.53|-60 03 54.7|2MASS J23200751-6003545| 7.941| 7.320| 7.082|
|GJ 1277         |             |22 56 24.66|-60 03 49.2|2MASS J22562466-6003490| 8.984| 8.360| 8.108|
|GJ 2046         |HIP 27887    |05 54 04.24|-60 01 24.5|2MASS J05540421-6001245| 5.412| 4.968| 4.793|
|GJ 2099 B       |             |13 12 57.57|-59 49 20.6|2MASS J13125756-5949205| 7.359| 6.868| 6.682|
|GJ 2099 A       |HIP 64478 A  |13 12 55.72|-59 48 59.8|2MASS J13125572-5948598| 5.181| 4.984| 4.813|
